"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
" 1.410178e-09",0.753959114388363,0.341,0.223," 2.699222e-05","13","Ano4"
" 3.375734e-09",0.297118922962644,0.915,0.876," 6.461492e-05","13","Ddx5"
" 4.444588e-09",0.751576174756173,0.318,0.209," 8.507386e-05","13","Tiam1"
" 4.757900e-09",0.847101764923202,0.438,0.355," 9.107096e-05","13","Sybu"
" 4.943046e-09",0.908953233979042,0.396,0.301," 9.461484e-05","13","Ppfia2"
" 5.018541e-09",0.634356769022233,0.535,0.449," 9.605988e-05","13","Ssbp2"
" 5.404160e-09",0.708845485612765,0.311,0.204," 1.034410e-04","13","Trhde"
" 5.910856e-09",0.372201320002547,0.788,0.775," 1.131397e-04","13","Serinc1"
" 6.843750e-09",0.34168969065918,0.816,0.749," 1.309962e-04","13","Cx3cl1"
" 8.217992e-09",0.680700862938359,0.454,0.356," 1.573006e-04","13","Gabra2"
" 8.787576e-09",0.435097015103173,0.744,0.716," 1.682030e-04","13","Sgip1"
" 9.030512e-09",0.62743969129908,0.592,0.55," 1.728530e-04","13","Slc4a10"
" 1.126405e-08",0.955808872504492,0.422,0.344," 2.156051e-04","13","Fgf12"
" 1.424544e-08",0.646186600992853,0.553,0.472," 2.726719e-04","13","Gm45159"
" 1.486570e-08",0.534858214839897,0.578,0.496," 2.845444e-04","13","Scg5"
" 1.580067e-08",0.714388369825678,0.491,0.406," 3.024406e-04","13","H3f3b"
" 1.581588e-08",0.349720384285543,0.82,0.815," 3.027318e-04","13","Myt1l"
" 2.958203e-08",0.684332739625695,0.484,0.407," 5.662297e-04","13","Kat6b"
" 3.500293e-08",0.605563723147868,0.512,0.44," 6.699912e-04","13","Rev3l"
" 3.609885e-08",0.319086793775832,0.889,0.875," 6.909681e-04","13","Sfpq"
" 4.241417e-08",0.82570027511256,0.431,0.352," 8.118496e-04","13","Syt5"
" 4.613478e-08",0.511103136019074,0.613,0.572," 8.830659e-04","13","Sipa1l1"
" 4.766355e-08",0.727985566510202,0.394,0.299," 9.123280e-04","13","Runx1t1"
" 7.105449e-08",0.335682909319329,0.906,0.886," 1.360054e-03","13","Nrcam"
" 7.696310e-08",1.01269105970981,0.311,0.227," 1.473151e-03","13","Plppr5"
" 8.238310e-08",0.394932873187072,0.758,0.741," 1.576895e-03","13","Atp1a1"
" 8.581099e-08",0.306887748891911,0.857,0.831," 1.642508e-03","13","Rtn4"
" 1.185067e-07",0.960089072036673,0.286,0.199," 2.268336e-03","13","Garem1"
" 1.285339e-07",0.290756146990572,0.885,0.887," 2.460268e-03","13","Tia1"
" 1.330593e-07",0.398478973956457,0.364,0.253," 2.546888e-03","13","Slc4a4"
" 1.748709e-07",0.281227244929616,0.85,0.84," 3.347205e-03","13","Atp2b2"
" 2.576791e-07",0.719828991085266,0.38,0.289," 4.932236e-03","13","Pid1"
" 2.619392e-07",0.463785093041801,0.906,0.854," 5.013777e-03","13","Lrp1b"
" 3.083591e-07",0.676915312729456,0.5,0.446," 5.902302e-03","13","Pten"
" 3.270982e-07",0.769410720929411,0.401,0.324," 6.260986e-03","13","Dlgap4"
" 3.391505e-07",0.331765498962447,0.929,0.905," 6.491679e-03","13","Dlg2"
" 4.408098e-07",0.742268065259883,0.297,0.207," 8.437540e-03","13","Tmem91"
" 4.483635e-07",0.321684384379688,0.876,0.868," 8.582125e-03","13","Luc7l3"
" 5.051750e-07",0.58838756610875,0.286,0.189," 9.669554e-03","13","Chn2"
" 5.503207e-07",0.633338024824244,0.486,0.42," 1.053369e-02","13","Astn1"
" 7.450135e-07",0.35880648910307,0.472,0.355," 1.426030e-02","13","Zbtb20"
" 9.710391e-07",0.4327065299133,0.601,0.547," 1.858666e-02","13","Glg1"
" 9.733817e-07",0.93726914738098,0.318,0.239," 1.863150e-02","13","Selenom"
" 1.011069e-06",0.45176742279108,0.599,0.544," 1.935287e-02","13","Mir124-2hg"
" 1.220853e-06",0.818878780480898,0.371,0.3," 2.336836e-02","13","Chsy3"
" 1.310034e-06",0.830230680917676,0.32,0.241," 2.507535e-02","13","Pnmal2"
" 1.409728e-06",0.609392619688786,0.417,0.33," 2.698360e-02","13","Pgrmc1"
" 2.335931e-06",0.727606904678752,0.341,0.263," 4.471205e-02","13","Ncdn"
" 2.968744e-06",0.558846697216723,0.477,0.408," 5.682472e-02","13","Rasgrp1"
" 3.544658e-06",0.734218562610747,0.343,0.261," 6.784830e-02","13","Scn3b"
" 3.936909e-06",0.263299183442286,0.972,0.955," 7.535637e-02","13","Atp2b1"
" 4.877869e-06",0.756083252615361,0.29,0.211," 9.336729e-02","13","St6galnac3"
" 4.991618e-06",0.815690341998684,0.339,0.269," 9.554457e-02","13","Serpini1"
" 5.236905e-06",0.495748595420894,0.472,0.404," 1.002396e-01","13","Atp6ap2"
" 6.201473e-06",0.632781869059804,0.447,0.391," 1.187024e-01","13","Il1rapl1"
" 7.424675e-06",0.430116401601136,0.551,0.492," 1.421157e-01","13","Rasgrf1"
" 9.104160e-06",0.360205120231037,0.707,0.727," 1.742627e-01","13","Atrx"
" 1.063083e-05",0.373263610598075,0.512,0.42," 2.034847e-01","13","Camk2d"
